City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,jamestown,US,63.72,broken clouds,42.097,-79.2353,
7,albany,US,55.58,clear sky,42.6001,-73.9662,
8,new norfolk,AU,58.91,scattered clouds,-42.7826,147.0587,
10,mataura,NZ,53.47,clear sky,-46.1927,168.8643,
12,kruisfontein,ZA,55.49,clear sky,-34.0033,24.7314,
15,east london,ZA,66.56,overcast clouds,-33.0153,27.9116,
22,esperance,AU,60.64,light rain,-33.8667,121.9,
27,lagoa,PT,66.56,broken clouds,39.05,-27.9833,
28,olpe,DE,59.61,overcast clouds,51.0333,7.85,
34,busselton,AU,63.09,broken clouds,-33.65,115.3333,
36,targu carbunesti,RO,57.49,clear sky,44.95,23.5167,
37,marmora,IT,50.94,few clouds,44.4583,7.094,
45,vostok,RU,66.2,overcast clouds,46.4856,135.8833,
48,przeworsk,PL,58.19,few clouds,50.0591,22.4941,
55,port alfred,ZA,64.24,scattered clouds,-33.5906,26.891,
57,saint-philippe,RE,69.39,light rain,-21.3585,55.7679,
61,hobart,AU,59.25,few clouds,-42.8794,147.3294,
62,sitka,US,53.49,overcast clouds,57.0531,-135.33,
63,goderich,CA,61.12,overcast clouds,43.7501,-81.7165,
64,havelock,US,69.75,clear sky,34.8791,-76.9013,
65,mar del plata,AR,53.1,overcast clouds,-38.0023,-57.5575,
66,ginda,IN,69.69,clear sky,30.6945,78.4932,
68,mukhen,RU,68.63,overcast clouds,48.1,136.1,
70,calama,CL,57.69,clear sky,-22.4667,-68.9333,
77,cidreira,BR,65.48,clear sky,-30.1811,-50.2056,
81,ribeira grande,PT,68.34,broken clouds,38.5167,-28.7,
85,mbigou,GA,67.69,overcast clouds,-1.9005,11.906,
86,emba,KZ,52.63,broken clouds,48.8264,58.1442,
88,ahipara,NZ,54.46,overcast clouds,-35.1667,173.1667,
91,durango,MX,63.9,overcast clouds,24.8333,-104.8333,
93,roding,DE,61.56,light rain,49.1964,12.5186,
94,taquaritinga,BR,65.19,broken clouds,-21.4061,-48.5047,
95,burnie,AU,53.06,overcast clouds,-41.0667,145.9167,
98,mayo,US,66.22,clear sky,38.8876,-76.5119,
100,hermanus,ZA,57.9,scattered clouds,-34.4187,19.2345,
105,torbay,CA,54.75,broken clouds,47.6666,-52.7314,
107,jalu,LY,69.06,clear sky,29.0331,21.5482,
119,maridi,SS,64.76,scattered clouds,4.9158,29.4742,
120,makanya,TZ,63.32,overcast clouds,-4.3667,37.8333,
121,bluff,NZ,53.8,clear sky,-46.6,168.3333,
128,berlevag,NO,50.09,overcast clouds,70.8578,29.0864,
130,bredasdorp,ZA,56.52,scattered clouds,-34.5322,20.0403,
131,dalaba,GN,62.46,overcast clouds,10.7,-12.25,
132,kabare,CD,60.57,light rain,-2.4683,28.8242,
135,severo-kurilsk,RU,51.94,broken clouds,50.6789,156.125,
137,werda,BW,67.44,clear sky,-25.2667,23.2833,
138,huarmey,PE,62.94,scattered clouds,-10.0681,-78.1522,
139,morro bay,US,68.88,scattered clouds,35.3658,-120.8499,
142,saint-pierre,RE,69.48,light rain,-21.3393,55.4781,
143,bethel,US,61.81,clear sky,41.3712,-73.414,
144,chicama,PE,59.54,scattered clouds,-7.8447,-79.1469,
147,doctor arroyo,MX,66.34,few clouds,23.6667,-100.1833,
148,san quintin,MX,67.78,scattered clouds,30.4833,-115.95,
150,saint-joseph,RE,68.38,light rain,-21.3667,55.6167,
152,te anau,NZ,50.45,clear sky,-45.4167,167.7167,
154,westport,US,67.98,clear sky,41.1415,-73.3579,
160,rocha,UY,54.1,clear sky,-34.4833,-54.3333,
161,camana,PE,61.12,broken clouds,-16.6228,-72.7111,
162,vao,NC,68.27,scattered clouds,-22.6667,167.4833,
164,lompoc,US,63.57,clear sky,34.6391,-120.4579,
166,calvia,ES,69.08,scattered clouds,39.5657,2.5062,
168,port lincoln,AU,65.3,overcast clouds,-34.7333,135.8667,
173,ascope,PE,58.33,scattered clouds,-7.7144,-79.1078,
174,svetlaya,RU,63.68,few clouds,46.5389,138.3297,
