,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,saint george,US,37.1041,-113.5841,86.63,26,1,3.0,clear sky
1,jamestown,US,42.097,-79.2353,63.72,84,75,1.99,broken clouds
2,ushuaia,AR,-54.8,-68.3,38.86,70,0,1.14,clear sky
3,fairbanks,US,64.8378,-147.7164,35.6,76,75,4.61,broken clouds
4,tecoanapa,MX,16.5167,-98.75,79.95,83,100,4.45,overcast clouds
5,rikitea,PF,-23.1203,-134.9692,73.65,72,33,19.6,scattered clouds
6,aklavik,CA,68.2191,-135.0107,32.83,93,96,4.34,overcast clouds
7,albany,US,42.6001,-73.9662,55.58,86,4,5.12,clear sky
8,new norfolk,AU,-42.7826,147.0587,58.91,35,50,4.25,scattered clouds
9,qaanaaq,GL,77.484,-69.3632,19.44,60,79,8.34,broken clouds
10,mataura,NZ,-46.1927,168.8643,53.47,34,4,2.06,clear sky
11,honiara,SB,-9.4333,159.95,83.41,78,100,6.08,light rain
12,kruisfontein,ZA,-34.0033,24.7314,55.49,94,7,4.05,clear sky
13,ancud,CL,-41.8697,-73.8203,38.73,82,79,4.7,broken clouds
14,thompson,CA,55.7435,-97.8558,46.56,93,20,0.0,few clouds
15,east london,ZA,-33.0153,27.9116,66.56,78,87,18.21,overcast clouds
16,upernavik,GL,72.7868,-56.1549,23.67,63,0,4.12,clear sky
17,touros,BR,-5.1989,-35.4608,76.1,84,59,13.91,broken clouds
18,vaini,TO,-21.2,-175.2,77.16,78,75,5.75,broken clouds
19,khatanga,RU,71.9667,102.5,32.63,81,96,11.18,overcast clouds
20,bodaybo,RU,57.8506,114.1933,37.17,90,100,6.11,light rain
21,chokurdakh,RU,70.6333,147.9167,27.19,87,100,19.15,light snow
22,esperance,AU,-33.8667,121.9,60.64,84,87,11.9,light rain
23,atuona,PF,-9.8,-139.0333,78.08,73,5,18.81,clear sky
24,periyapatti,IN,10.75,77.2667,76.21,63,100,21.74,overcast clouds
25,arraial do cabo,BR,-22.9661,-42.0278,71.08,87,86,22.15,overcast clouds
26,sao jose do belmonte,BR,-7.8614,-38.7597,72.0,73,6,12.66,clear sky
27,lagoa,PT,39.05,-27.9833,66.56,67,62,20.15,broken clouds
28,olpe,DE,51.0333,7.85,59.61,1,100,3.36,overcast clouds
29,hami,CN,42.8,93.45,70.11,18,0,3.4,clear sky
30,hilo,US,19.7297,-155.09,80.33,86,90,12.66,heavy intensity rain
31,faanui,PF,-16.4833,-151.75,79.66,73,2,11.83,clear sky
32,kodiak,US,57.79,-152.4072,45.36,62,0,9.71,clear sky
33,longyearbyen,SJ,78.2186,15.6401,35.44,87,75,21.85,light rain
34,busselton,AU,-33.65,115.3333,63.09,75,64,12.41,broken clouds
35,hobyo,SO,5.3505,48.5268,77.58,82,77,22.03,broken clouds
36,targu carbunesti,RO,44.95,23.5167,57.49,63,0,3.51,clear sky
37,marmora,IT,44.4583,7.094,50.94,82,11,5.77,few clouds
38,tasiilaq,GL,65.6145,-37.6368,32.16,63,16,6.62,few clouds
39,thinadhoo,MV,0.5333,72.9333,82.35,75,100,15.88,light rain
40,hithadhoo,MV,-0.6,73.0833,82.4,74,100,15.9,overcast clouds
41,tuktoyaktuk,CA,69.4541,-133.0374,32.0,93,75,16.11,broken clouds
42,barrow,US,71.2906,-156.7887,23.02,80,1,14.97,clear sky
43,ust-omchug,RU,61.15,149.6333,38.53,56,20,3.09,few clouds
44,srednekolymsk,RU,67.45,153.6833,32.67,65,99,15.01,overcast clouds
45,vostok,RU,46.4856,135.8833,66.2,54,96,5.53,overcast clouds
46,finschhafen,PG,-6.6024,147.8681,84.6,70,32,9.31,scattered clouds
47,port keats,AU,-14.25,129.55,87.69,54,14,11.77,few clouds
48,przeworsk,PL,50.0591,22.4941,58.19,91,24,7.72,few clouds
49,kapaa,US,22.0752,-159.319,84.18,76,40,7.0,light rain
50,north bend,US,43.4065,-124.2243,72.95,91,90,14.97,overcast clouds
51,mana,GF,5.6592,-53.7767,80.33,83,3,10.31,clear sky
